Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score,home_prob,draw_prob,away_prob,home_elo,away_elo
5/1/16,Connacht GAA Football Senior Championship,New_york,0,17,Roscommon,1,15,17,18,0.5,0.105990783,0.5,1500,1500
5/14/16,Leinster GAA Football Senior Championship,Louth,2,24,Carlow,3,11,30,20,0.5,0.105990783,0.5,1500,1500
5/14/16,Leinster GAA Football Senior Championship,Laois,3,16,Wicklow,0,18,25,18,0.5,0.105990783,0.5,1500,1500
5/15/16,Leinster GAA Football Senior Championship,Offaly,2,21,Longford,2,13,27,19,0.5,0.105990783,0.5,1500,1500
5/15/16,Ulster GAA Football Senior Championship,Fermanagh,1,12,Antrim,0,9,15,9,0.5,0.105990783,0.5,1500,1500
5/21/16,Leinster GAA Football Senior Championship,Wexford,0,8,Kildare,0,9,8,9,0.5,0.105990783,0.5,1500,1500
5/22/16,Connacht GAA Football Senior Championship,Leitrim,0,11,Roscommon,1,21,11,24,0.487769957,0.105990783,0.512230043,1500,1508
5/22/16,Ulster GAA Football Senior Championship,Derry,0,12,Tyrone,3,14,12,23,0.5,0.105990783,0.5,1500,1500
5/29/22,Connacht GAA Football Senior Championship,London,0,9,Mayo,2,16,9,22,0.5,0.105990783,0.5,1500,1500
5/29/22,Munster GAA Football Senior Championship,Limerick,0,13,Clare,0,16,13,16,0.5,0.105990783,0.5,1500,1500
5/29/22,Munster GAA Football Senior Championship,Waterford,1,7,Tipperary,1,15,10,18,0.5,0.105990783,0.5,1500,1500
5/29/22,Ulster GAA Football Senior Championship,Cavan,2,16,Armagh,0,14,22,14,0.5,0.105990783,0.5,1500,1500
6/4/16,Leinster GAA Football Senior Championship,Laois,2,10,Dublin,2,21,16,27,0.520855071,0.105990783,0.479144929,1514,1500
6/5/16,Ulster GAA Football Senior Championship,Monaghan,2,22,Down,0,9,28,9,0.5,0.105990783,0.5,1500,1500
6/12/16,Connacht GAA Football Senior Championship,Roscommon,4,16,Sligo,2,13,28,19,0.540921003,0.068322981,0.459078997,1528,1500
6/12/16,Leinster GAA Football Senior Championship,Louth,1,13,Meath,0,20,16,20,0.525163248,0.068322981,0.474836752,1518,1500
6/12/16,Leinster GAA Football Senior Championship,Westmeath,0,13,Offaly,0,12,13,12,0.477708494,0.105990783,0.522291506,1500,1516
6/12/16,Munster GAA Football Senior Championship,Kerry,2,23,Clare,0,17,29,17,0.484893884,0.105990783,0.515106116,1500,1510
6/12/16,Munster GAA Football Senior Championship,Tipperary,3,15,Cork,2,16,24,22,0.522291506,0.105990783,0.477708494,1516,1500
6/12/16,Ulster GAA Football Senior Championship,Donegal,2,12,Fermanagh,0,11,18,11,0.48058171,0.105990783,0.51941829,1500,1514
6/18/16,GAA Football All-Ireland Senior Championship,Laois,1,10,Armagh,0,10,13,10,0.515434449,0.105990783,0.484565551,1495,1484
6/18/16,GAA Football All-Ireland Senior Championship,Derry,1,18,Louth,2,10,21,16,0.465628855,0.117647059,0.534371145,1482,1505
6/18/16,GAA Football All-Ireland Senior Championship,Carlow,1,17,Wicklow,1,12,20,15,0.49568276,0.105990783,0.50431724,1482,1486
6/18/16,Connacht GAA Football Senior Championship,Mayo,0,12,Galway,1,12,12,15,0.529467683,0.068322981,0.470532317,1520,1500
6/19/16,GAA Football All-Ireland Senior Championship,Leitrim,0,12,Waterford,0,8,12,8,0.493526402,0.105990783,0.506473598,1480,1484
6/19/16,Ulster GAA Football Senior Championship,Tyrone,0,16,Cavan,3,7,16,16,0.50431724,0.105990783,0.49568276,1518,1516
6/25/16,GAA Football All-Ireland Senior Championship,Offaly,0,17,London,1,7,17,10,0.538951236,0.068322981,0.461048764,1507,1480
6/25/16,GAA Football All-Ireland Senior Championship,Antrim,0,9,Limerick,2,6,9,12,0.49568276,0.105990783,0.50431724,1486,1490
6/25/16,GAA Football All-Ireland Senior Championship,Down,3,17,Longford,2,24,26,30,0.484175015,0.105990783,0.515824985,1474,1484
6/25/16,GAA Football All-Ireland Senior Championship,Wexford,1,11,Fermanagh,0,19,14,19,0.490018369,0.105990783,0.509981631,1492,1498
6/25/16,Ulster GAA Football Senior Championship,Donegal,1,11,Monaghan,0,14,14,14,0.483546964,0.105990783,0.516453036,1515,1526
6/26/16,Leinster GAA Football Senior Championship,Westmeath,1,12,Kildare,1,11,15,14,0.500545361,0.105990783,0.499454639,1509,1508
6/26/16,Leinster GAA Football Senior Championship,Dublin,0,21,Meath,0,11,21,11,0.510349912,0.105990783,0.489650088,1519,1512
7/2/16,GAA Football All-Ireland Senior Championship,Laois,1,11,Armagh,1,10,14,13,0.544608953,0.068322981,0.455391047,1505,1474
7/2/16,GAA Football All-Ireland Senior Championship,Sligo,2,15,Leitrim,0,10,21,10,0.490215361,0.105990783,0.509784639,1485,1492
7/2/16,Ulster GAA Football Senior Championship,Donegal,0,17,Monaghan,2,10,17,16,0.484256562,0.105990783,0.515743438,1515,1526
7/3/16,Munster GAA Football Senior Championship,Kerry,3,17,Tipperary,2,10,26,16,0.493542582,0.105990783,0.506457418,1520,1525
7/3/16,Ulster GAA Football Senior Championship,Cavan,2,17,Tyrone,5,18,23,33,0.495869137,0.105990783,0.504130863,1516,1518
7/9/16,GAA Football All-Ireland Senior Championship,Derry,1,14,Meath,1,11,17,14,0.499882391,0.105990783,0.500117609,1495,1495
7/9/16,GAA Football All-Ireland Senior Championship,Limerick,0,10,Cork,2,12,10,18,0.512928722,0.105990783,0.487071278,1500,1491
7/9/16,GAA Football All-Ireland Senior Championship,Mayo,2,14,Fermanagh,1,12,20,15,0.498120308,0.105990783,0.501879692,1509,1511
7/9/16,GAA Football All-Ireland Senior Championship,Cavan,2,13,Carlow,0,12,19,12,0.504463166,0.105990783,0.495536834,1498,1495
7/9/16,GAA Football All-Ireland Senior Championship,Monaghan,1,13,Longford,2,13,16,19,0.531402629,0.068322981,0.468597371,1517,1496
7/9/16,GAA Football All-Ireland Senior Championship,Kildare,1,22,Offaly,2,14,25,20,0.471274986,0.117647059,0.528725014,1500,1520
7/10/16,GAA Football All-Ireland Senior Championship,Clare,0,14,Laois,1,10,14,13,0.467328288,0.117647059,0.532671712,1490,1513
7/10/16,Connacht GAA Football Senior Championship,Galway,0,13,Roscommon,1,10,13,13,0.453322808,0.117647059,0.546677192,1511,1544
7/16/16,GAA Football All-Ireland Senior Championship,Sligo,1,13,Clare,2,17,16,23,0.506110388,0.105990783,0.493889612,1504,1499
7/16/16,GAA Football All-Ireland Senior Championship,Longford,1,6,Cork,2,9,9,15,0.499958484,0.105990783,0.500041516,1507,1507
7/16/16,GAA Football All-Ireland Senior Championship,Cavan,0,18,Derry,1,17,18,20,0.510386271,0.105990783,0.489613729,1513,1505
7/16/16,GAA Football All-Ireland Senior Championship,Mayo,2,17,Kildare,0,14,23,14,0.512518804,0.105990783,0.487481196,1522,1513
7/17/16,Connacht GAA Football Senior Championship,Galway,3,16,Roscommon,0,14,25,14,0.455321203,0.117647059,0.544678797,1512,1543
7/17/16,Leinster GAA Football Senior Championship,Dublin,2,19,Westmeath,0,10,25,10,0.527372944,0.068322981,0.472627056,1536,1517
7/17/16,Ulster GAA Football Senior Championship,Donegal,0,11,Tyrone,0,13,11,13,0.483149882,0.105990783,0.516850118,1524,1536
7/23/16,GAA Football All-Ireland Senior Championship,Clare,2,12,Roscommon,1,9,18,12,0.487552179,0.105990783,0.512447821,1514,1523
7/23/16,GAA Football All-Ireland Senior Championship,Tipperary,1,21,Derry,2,17,24,23,0.488189021,0.105990783,0.511810979,1507,1515
7/30/16,GAA Football All-Ireland Senior Championship,Donegal,0,21,Cork,1,15,21,18,0.492192725,0.105990783,0.507807275,1515,1520
7/30/16,GAA Football All-Ireland Senior Championship,Mayo,3,15,Westmeath,1,14,24,17,0.560027578,0.068322981,0.439972422,1538,1496
7/31/16,GAA Football All-Ireland Senior Championship,Kerry,2,16,Clare,0,11,22,11,0.51415075,0.105990783,0.48584925,1538,1528
7/31/16,GAA Football All-Ireland Senior Championship,Galway,1,10,Tipperary,3,13,13,22,0.523613932,0.105990783,0.476386068,1532,1516
8/6/16,GAA Football All-Ireland Senior Championship,Tyrone,0,12,Mayo,0,13,12,13,0.491648521,0.105990783,0.508351479,1545,1551
8/6/16,GAA Football All-Ireland Senior Championship,Dublin,1,15,Donegal,1,10,18,13,0.54608736,0.068322981,0.45391264,1558,1526
8/21/16,GAA Football All-Ireland Senior Championship,Mayo,2,13,Tipperary,0,14,19,14,0.537779159,0.068322981,0.462220841,1559,1533
8/28/16,GAA Football All-Ireland Senior Championship,Dublin,0,22,Kerry,2,14,22,20,0.519035841,0.105990783,0.480964159,1569,1556
9/18/16,GAA Football All-Ireland Senior Championship,Dublin,2,9,Mayo,0,15,15,15,0.510757092,0.105990783,0.489242908,1578,1571
10/1/16,GAA Football All-Ireland Senior Championship,Dublin,1,15,Mayo,1,14,18,17,0.510292877,0.105990783,0.489707123,1578,1571
2/4/17,Allianz Football League Roinn 1,Mayo,0,12,Monaghan,1,11,12,14,0.580177433,0.057377049,0.419822567,1563,1506
