Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,home_prob,draw_prob,away_prob,home_elo,away_elo
2016-05-01,Connacht GAA Football Senior Championship,new_york,0,17,roscommon,1,15,0.440625,0.11875,0.440625,1500,1500
2016-05-14,Leinster GAA Football Senior Championship,louth,2,24,carlow,3,11,0.440625,0.11875,0.440625,1500,1500
2016-05-14,Leinster GAA Football Senior Championship,laois,3,16,wicklow,0,18,0.440625,0.11875,0.440625,1500,1500
2016-05-15,Leinster GAA Football Senior Championship,offaly,2,21,longford,2,13,0.440625,0.11875,0.440625,1500,1500
2016-05-15,Ulster GAA Football Senior Championship,fermanagh,1,12,antrim,0,9,0.440625,0.11875,0.440625,1500,1500
2016-05-21,Leinster GAA Football Senior Championship,wexford,0,8,kildare,0,9,0.440625,0.11875,0.440625,1500,1500
2016-05-22,Connacht GAA Football Senior Championship,leitrim,0,11,roscommon,1,21,0.4203478011940232,0.11875,0.46090219880597677,1500,1516
2016-05-22,Ulster GAA Football Senior Championship,derry,0,12,tyrone,3,14,0.440625,0.11875,0.440625,1500,1500
2022-05-29,Connacht GAA Football Senior Championship,london,0,9,mayo,2,16,0.440625,0.11875,0.440625,1500,1500
2022-05-29,Munster GAA Football Senior Championship,limerick,0,13,clare,0,16,0.440625,0.11875,0.440625,1500,1500
2022-05-29,Munster GAA Football Senior Championship,waterford,1,7,tipperary,1,15,0.440625,0.11875,0.440625,1500,1500
2022-05-29,Ulster GAA Football Senior Championship,cavan,2,16,armagh,0,14,0.440625,0.11875,0.440625,1500,1500
2016-06-04,Leinster GAA Football Senior Championship,laois,2,10,dublin,2,21,0.4907245826105606,0.07692307692307693,0.43235234046636245,1522,1500
2016-06-05,Ulster GAA Football Senior Championship,monaghan,2,22,down,0,9,0.440625,0.11875,0.440625,1500,1500
2016-06-12,Connacht GAA Football Senior Championship,roscommon,4,16,sligo,2,13,0.5179928818202975,0.07692307692307693,0.4050840412566256,1543,1500
2016-06-12,Leinster GAA Football Senior Championship,louth,1,13,meath,0,20,0.4946916248724021,0.07692307692307693,0.428385298204521,1525,1500
2016-06-12,Leinster GAA Football Senior Championship,westmeath,0,13,offaly,0,12,0.4259882020703345,0.08771929824561403,0.4862924996840514,1500,1523
2016-06-12,Munster GAA Football Senior Championship,kerry,2,23,clare,0,17,0.43252967708174045,0.08771929824561403,0.4797510246726456,1500,1518
2016-06-12,Munster GAA Football Senior Championship,tipperary,3,15,cork,2,16,0.49204744050871485,0.07692307692307693,0.4310294825682082,1523,1500
2016-06-12,Ulster GAA Football Senior Championship,donegal,2,12,fermanagh,0,11,0.4286034498210017,0.08771929824561403,0.48367725193338434,1500,1521
2016-06-18,GAA Football All-Ireland Senior Championship,laois,1,10,armagh,0,10,0.4626177556213315,0.11875,0.41863224437866853,1494,1477
2016-06-18,GAA Football All-Ireland Senior Championship,derry,1,18,louth,2,10,0.41602400651063737,0.08771929824561403,0.49625669524374866,1474,1505
2016-06-18,GAA Football All-Ireland Senior Championship,carlow,1,17,wicklow,1,12,0.43682043246585356,0.11875,0.44442956753414636,1475,1478
2016-06-18,Connacht GAA Football Senior Championship,mayo,0,12,galway,1,12,0.498653749221919,0.07692307692307693,0.42442317385500405,1528,1500
2016-06-19,GAA Football All-Ireland Senior Championship,leitrim,0,12,waterford,0,8,0.435918224706787,0.11875,0.445331775293213,1473,1477
2016-06-19,Ulster GAA Football Senior Championship,tyrone,0,16,cavan,3,7,0.4444295675341465,0.11875,0.43682043246585356,1526,1523
2016-06-25,GAA Football All-Ireland Senior Championship,offaly,0,17,london,1,7,0.5064850769321074,0.07692307692307693,0.41659184614481565,1506,1472
2016-06-25,GAA Football All-Ireland Senior Championship,antrim,0,9,limerick,2,6,0.43682043246585356,0.11875,0.44442956753414636,1479,1482
2016-06-25,GAA Football All-Ireland Senior Championship,down,3,17,longford,2,24,0.4266792317354522,0.11875,0.4545707682645478,1466,1477
2016-06-25,GAA Football All-Ireland Senior Championship,wexford,1,11,fermanagh,0,19,0.42329499051586,0.11875,0.4579550094841401,1484,1498
2016-06-25,Ulster GAA Football Senior Championship,donegal,1,11,monaghan,0,14,0.4270949632691295,0.11875,0.4541550367308705,1523,1534
2016-06-26,Leinster GAA Football Senior Championship,westmeath,1,12,kildare,1,11,0.44196632263266056,0.11875,0.4392836773673395,1517,1516
2016-06-26,Leinster GAA Football Senior Championship,dublin,0,21,meath,0,11,0.4498554669851829,0.11875,0.43139453301481706,1528,1520
2016-07-02,GAA Football All-Ireland Senior Championship,laois,1,11,armagh,1,10,0.5295317859092111,0.07692307692307693,0.39354513716771194,1511,1460
2016-07-02,GAA Football All-Ireland Senior Championship,sligo,2,15,leitrim,0,10,0.4234418888862874,0.11875,0.45780811111371256,1479,1492
2016-07-02,Ulster GAA Football Senior Championship,donegal,0,17,monaghan,2,10,0.4282622312970599,0.11875,0.45298776870294005,1524,1534
2016-07-03,Munster GAA Football Senior Championship,kerry,3,17,tipperary,2,10,0.4273397461698152,0.11875,0.4539102538301849,1528,1539
