Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score
5/1/16,Connacht GAA Football Senior Championship,New_york,0,17,Roscommon,1,15,17,18
5/14/16,Leinster GAA Football Senior Championship,Louth,2,24,Carlow,3,11,30,20
5/14/16,Leinster GAA Football Senior Championship,Laois,3,16,Wicklow,0,18,25,18
5/15/16,Leinster GAA Football Senior Championship,Offaly,2,21,Longford,2,13,27,19
5/15/16,Ulster GAA Football Senior Championship,Fermanagh,1,12,Antrim,0,9,15,9
5/21/16,Leinster GAA Football Senior Championship,Wexford,0,8,Kildare,0,9,8,9
5/22/16,Connacht GAA Football Senior Championship,Leitrim,0,11,Roscommon,1,21,11,24
5/22/16,Ulster GAA Football Senior Championship,Derry,0,12,Tyrone,3,14,12,23
5/29/22,Connacht GAA Football Senior Championship,London,0,9,Mayo,2,16,9,22
5/29/22,Munster GAA Football Senior Championship,Limerick,0,13,Clare,0,16,13,16
5/29/22,Munster GAA Football Senior Championship,Waterford,1,7,Tipperary,1,15,10,18
5/29/22,Ulster GAA Football Senior Championship,Cavan,2,16,Armagh,0,14,22,14
6/4/16,Leinster GAA Football Senior Championship,Laois,2,10,Dublin,2,21,16,27
6/5/16,Ulster GAA Football Senior Championship,Monaghan,2,22,Down,0,9,28,9
6/12/16,Connacht GAA Football Senior Championship,Roscommon,4,16,Sligo,2,13,28,19
6/12/16,Leinster GAA Football Senior Championship,Louth,1,13,Meath,0,20,16,20
6/12/16,Leinster GAA Football Senior Championship,Westmeath,0,13,Offaly,0,12,13,12
6/12/16,Munster GAA Football Senior Championship,Kerry,2,23,Clare,0,17,29,17
6/12/16,Munster GAA Football Senior Championship,Tipperary,3,15,Cork,2,16,24,22
6/12/16,Ulster GAA Football Senior Championship,Donegal,2,12,Fermanagh,0,11,18,11
6/18/16,GAA Football All-Ireland Senior Championship,Laois,1,10,Armagh,0,10,13,10
6/18/16,GAA Football All-Ireland Senior Championship,Derry,1,18,Louth,2,10,21,16
6/18/16,GAA Football All-Ireland Senior Championship,Carlow,1,17,Wicklow,1,12,20,15
6/18/16,Connacht GAA Football Senior Championship,Mayo,0,12,Galway,1,12,12,15
6/19/16,GAA Football All-Ireland Senior Championship,Leitrim,0,12,Waterford,0,8,12,8
