Date,competition,team1,team1_goals,team1_points,team2,team2_goals,team2_points,team1_score,team2_score,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,Season_Year
5/1/16,Connacht GAA Football Senior Championship,New_york,0,17,Roscommon,1,15,17,18,1500,1500,50,50,1493.068528,1506.931472,2016
5/14/16,Leinster GAA Football Senior Championship,Louth,2,24,Carlow,3,11,30,20,1500,1500,50,50,1523.978953,1476.021047,2016
5/14/16,Leinster GAA Football Senior Championship,Laois,3,16,Wicklow,0,18,25,18,1500,1500,50,50,1520.794415,1479.205585,2016
5/15/16,Leinster GAA Football Senior Championship,Offaly,2,21,Longford,2,13,27,19,1500,1500,50,50,1521.972246,1478.027754,2016
5/15/16,Ulster GAA Football Senior Championship,Fermanagh,1,12,Antrim,0,9,15,9,1500,1500,50,50,1519.459101,1480.540899,2016
5/21/16,Leinster GAA Football Senior Championship,Wexford,0,8,Kildare,0,9,8,9,1500,1500,50,50,1493.068528,1506.931472,2016
5/22/16,Connacht GAA Football Senior Championship,Leitrim,0,11,Roscommon,1,21,11,24,1500,1506.931472,49,51,1474.217092,1532.71438,2016
5/22/16,Ulster GAA Football Senior Championship,Derry,0,12,Tyrone,3,14,12,23,1500,1500,50,50,1475.150934,1524.849066,2016
5/29/16,Connacht GAA Football Senior Championship,London,0,9,Mayo,2,16,9,22,1500,1500,50,50,1473.609427,1526.390573,2016
5/29/16,Munster GAA Football Senior Championship,Limerick,0,13,Clare,0,16,13,16,1500,1500,50,50,1486.137056,1513.862944,2016
5/29/16,Munster GAA Football Senior Championship,Waterford,1,7,Tipperary,1,15,10,18,1500,1500,50,50,1478.027754,1521.972246,2016
5/29/16,Ulster GAA Football Senior Championship,Cavan,2,16,Armagh,0,14,22,14,1500,1500,50,50,1521.972246,1478.027754,2016
6/4/16,Leinster GAA Football Senior Championship,Laois,2,10,Dublin,2,21,16,27,1520.794415,1500,53,47,1494.706461,1526.087955,2016
6/5/16,Ulster GAA Football Senior Championship,Monaghan,2,22,Down,0,9,28,9,1500,1500,50,50,1529.957323,1470.042677,2016
6/12/16,Connacht GAA Football Senior Championship,Roscommon,4,16,Sligo,2,13,28,19,1532.71438,1500,55,45,1553.272804,1479.441575,2016
6/12/16,Leinster GAA Football Senior Championship,Louth,1,13,Meath,0,20,16,20,1523.978953,1500,53,47,1506.961036,1517.017917,2016
6/12/16,Leinster GAA Football Senior Championship,Westmeath,0,13,Offaly,0,12,13,12,1500,1521.972246,47,53,1507.296371,1514.675874,2016
6/12/16,Munster GAA Football Senior Championship,Kerry,2,23,Clare,0,17,29,17,1500,1513.862944,48,52,1526.505366,1487.357578,2016
6/12/16,Munster GAA Football Senior Championship,Tipperary,3,15,Cork,2,16,24,22,1521.972246,1500,53,47,1532.162741,1489.809504,2016
6/12/16,Ulster GAA Football Senior Championship,Donegal,2,12,Fermanagh,0,11,18,11,1500,1519.459101,47,53,1521.765333,1497.693768,2016
6/18/16,GAA Football All-Ireland Senior Championship,Laois,1,10,Armagh,0,10,13,10,1494.706461,1478.027754,52,48,1507.805118,1464.929097,2016
6/18/16,GAA Football All-Ireland Senior Championship,Derry,1,18,Louth,2,10,21,16,1475.150934,1506.961036,45,55,1494.425741,1487.686228,2016
6/18/16,GAA Football All-Ireland Senior Championship,Carlow,1,17,Wicklow,1,12,20,15,1476.021047,1479.205585,50,50,1494.076731,1461.149901,2016
6/18/16,Connacht GAA Football Senior Championship,Mayo,0,12,Galway,1,12,12,15,1526.390573,1500,54,46,1511.653429,1514.737144,2016
6/19/16,GAA Football All-Ireland Senior Championship,Leitrim,0,12,Waterford,0,8,12,8,1474.217092,1478.027754,49,51,1490.459852,1461.784994,2016
6/19/16,Ulster GAA Football Senior Championship,Tyrone,0,16,Cavan,3,7,16,16,1524.849066,1521.972246,50,50,1524.849066,1521.972246,2016
6/25/16,GAA Football All-Ireland Senior Championship,Offaly,0,17,London,1,7,17,10,1514.675874,1473.609427,56,44,1532.687582,1455.597719,2016
6/25/16,GAA Football All-Ireland Senior Championship,Antrim,0,9,Limerick,2,6,9,12,1480.540899,1486.137056,49,51,1466.935834,1499.742121,2016
6/25/16,GAA Football All-Ireland Senior Championship,Down,3,17,Longford,2,24,26,30,1470.042677,1478.027754,49,51,1454.374996,1493.695436,2016
6/25/16,GAA Football All-Ireland Senior Championship,Wexford,1,11,Fermanagh,0,19,14,19,1493.068528,1497.693768,49,51,1475.426538,1515.335759,2016
6/25/16,Ulster GAA Football Senior Championship,Donegal,1,11,Monaghan,0,14,14,14,1521.765333,1529.957323,49,51,1521.765333,1529.957323,2016
6/26/16,Leinster GAA Football Senior Championship,Westmeath,1,12,Kildare,1,11,15,14,1507.296371,1506.931472,50,50,1514.219415,1500.008428,2016
6/26/16,Leinster GAA Football Senior Championship,Dublin,0,21,Meath,0,11,21,11,1526.087955,1517.017917,51,49,1549.345179,1493.760692,2016
7/2/16,GAA Football All-Ireland Senior Championship,Laois,1,11,Armagh,1,10,14,13,1507.805118,1464.929097,56,44,1513.769277,1458.964938,2016
7/2/16,GAA Football All-Ireland Senior Championship,Sligo,2,15,Leitrim,0,10,21,10,1479.441575,1490.459852,48,52,1504.950663,1464.950765,2016
