Date,home_team,away_team,competition,home_points,home_goals,away_points,away_goals,home_win,draw,winning_team,losing_team
5/1/16,new_york,roscommon,Connacht GAA Football Senior Championship,17,0,15,1,0,,roscommon,new_york
5/14/16,louth,carlow,Leinster GAA Football Senior Championship,24,2,11,3,1,,louth,carlow
5/14/16,laois,wicklow,Leinster GAA Football Senior Championship,16,3,18,0,1,,laois,wicklow
5/15/16,offaly,longford,Leinster GAA Football Senior Championship,21,2,13,2,1,,offaly,longford
5/15/16,fermanagh,antrim,Ulster GAA Football Senior Championship,12,1,9,0,1,,fermanagh,antrim
5/21/16,wexford,kildare,Leinster GAA Football Senior Championship,8,0,9,0,0,,kildare,wexford
5/22/16,leitrim,roscommon,Connacht GAA Football Senior Championship,11,0,21,1,0,,roscommon,leitrim
5/22/16,derry,tyrone,Ulster GAA Football Senior Championship,12,0,14,3,0,,tyrone,derry
5/29/22,london,mayo,Connacht GAA Football Senior Championship,9,0,16,2,0,,mayo,london
5/29/22,limerick,clare,Munster GAA Football Senior Championship,13,0,16,0,0,,clare,limerick
5/29/22,waterford,tipperary,Munster GAA Football Senior Championship,7,1,15,1,0,,tipperary,waterford
5/29/22,cavan,armagh,Ulster GAA Football Senior Championship,16,2,14,0,1,,cavan,armagh
6/4/16,laois,dublin,Leinster GAA Football Senior Championship,10,2,21,2,0,,dublin,laois
6/5/16,monaghan,down,Ulster GAA Football Senior Championship,22,2,9,0,1,,monaghan,down
6/12/16,roscommon,sligo,Connacht GAA Football Senior Championship,16,4,13,2,1,,roscommon,sligo
6/12/16,louth,meath,Leinster GAA Football Senior Championship,13,1,20,0,0,,meath,louth
6/12/16,westmeath,offaly,Leinster GAA Football Senior Championship,13,0,12,0,1,,westmeath,offaly
6/12/16,kerry,clare,Munster GAA Football Senior Championship,23,2,17,0,1,,kerry,clare
6/12/16,tipperary,cork,Munster GAA Football Senior Championship,15,3,16,2,1,,tipperary,cork
6/12/16,donegal,fermanagh,Ulster GAA Football Senior Championship,12,2,11,0,1,,donegal,fermanagh
6/18/16,laois,armagh,GAA Football All-Ireland Senior Championship,10,1,10,0,1,,laois,armagh
6/18/16,derry,louth,GAA Football All-Ireland Senior Championship,18,1,10,2,1,,derry,louth
6/18/16,carlow,wicklow,GAA Football All-Ireland Senior Championship,17,1,12,1,1,,carlow,wicklow
6/18/16,mayo,galway,Connacht GAA Football Senior Championship,12,0,12,1,0,,galway,mayo
6/19/16,leitrim,waterford,GAA Football All-Ireland Senior Championship,12,0,8,0,1,,leitrim,waterford
6/19/16,tyrone,cavan,Ulster GAA Football Senior Championship,16,0,7,3,0,,cavan,tyrone
6/25/16,offaly,london,GAA Football All-Ireland Senior Championship,17,0,7,1,1,,offaly,london
6/25/16,antrim,limerick,GAA Football All-Ireland Senior Championship,9,0,6,2,0,,limerick,antrim
6/25/16,down,longford,GAA Football All-Ireland Senior Championship,17,3,24,2,0,,longford,down
6/25/16,wexford,fermanagh,GAA Football All-Ireland Senior Championship,11,1,19,0,0,,fermanagh,wexford
6/25/16,donegal,monaghan,Ulster GAA Football Senior Championship,11,1,14,0,1,,donegal,monaghan
6/26/16,westmeath,kildare,Leinster GAA Football Senior Championship,12,1,11,1,1,,westmeath,kildare
6/26/16,dublin,meath,Leinster GAA Football Senior Championship,21,0,11,0,1,,dublin,meath
7/2/16,laois,armagh,GAA Football All-Ireland Senior Championship,11,1,10,1,1,,laois,armagh
7/2/16,sligo,leitrim,GAA Football All-Ireland Senior Championship,15,2,10,0,1,,sligo,leitrim
7/2/16,donegal,monaghan,Ulster GAA Football Senior Championship,17,0,10,2,1,,donegal,monaghan
7/3/16,kerry,tipperary,Munster GAA Football Senior Championship,17,3,10,2,1,,kerry,tipperary
7/3/16,cavan,tyrone,Ulster GAA Football Senior Championship,17,2,18,5,0,,tyrone,cavan
7/9/16,derry,meath,GAA Football All-Ireland Senior Championship,14,1,11,1,1,,derry,meath
7/9/16,limerick,cork,GAA Football All-Ireland Senior Championship,10,0,12,2,0,,cork,limerick
7/9/16,mayo,fermanagh,GAA Football All-Ireland Senior Championship,14,2,12,1,1,,mayo,fermanagh
7/9/16,cavan,carlow,GAA Football All-Ireland Senior Championship,13,2,12,0,1,,cavan,carlow
7/9/16,monaghan,longford,GAA Football All-Ireland Senior Championship,13,1,13,2,0,,longford,monaghan
7/9/16,kildare,offaly,GAA Football All-Ireland Senior Championship,22,1,14,2,1,,kildare,offaly
7/10/16,clare,laois,GAA Football All-Ireland Senior Championship,14,0,10,1,1,,clare,laois
7/10/16,galway,roscommon,Connacht GAA Football Senior Championship,13,0,10,1,0,,roscommon,galway
7/16/16,sligo,clare,GAA Football All-Ireland Senior Championship,13,1,17,2,0,,clare,sligo
7/16/16,longford,cork,GAA Football All-Ireland Senior Championship,6,1,9,2,0,,cork,longford
7/16/16,cavan,derry,GAA Football All-Ireland Senior Championship,18,0,17,1,0,,derry,cavan
7/16/16,mayo,kildare,GAA Football All-Ireland Senior Championship,17,2,14,0,1,,mayo,kildare
7/17/16,galway,roscommon,Connacht GAA Football Senior Championship,16,3,14,0,1,,galway,roscommon
7/17/16,dublin,westmeath,Leinster GAA Football Senior Championship,19,2,10,0,1,,dublin,westmeath
7/17/16,donegal,tyrone,Ulster GAA Football Senior Championship,11,0,13,0,0,,tyrone,donegal
7/23/16,clare,roscommon,GAA Football All-Ireland Senior Championship,12,2,9,1,1,,clare,roscommon
7/23/16,tipperary,derry,GAA Football All-Ireland Senior Championship,21,1,17,2,1,,tipperary,derry
7/30/16,donegal,cork,GAA Football All-Ireland Senior Championship,21,0,15,1,1,,donegal,cork
7/30/16,mayo,westmeath,GAA Football All-Ireland Senior Championship,15,3,14,1,1,,mayo,westmeath
7/31/16,kerry,clare,GAA Football All-Ireland Senior Championship,16,2,11,0,1,,kerry,clare
7/31/16,galway,tipperary,GAA Football All-Ireland Senior Championship,10,1,13,3,0,,tipperary,galway
8/6/16,tyrone,mayo,GAA Football All-Ireland Senior Championship,12,0,13,0,0,,mayo,tyrone
8/6/16,dublin,donegal,GAA Football All-Ireland Senior Championship,15,1,10,1,1,,dublin,donegal
8/21/16,mayo,tipperary,GAA Football All-Ireland Senior Championship,13,2,14,0,1,,mayo,tipperary
8/28/16,dublin,kerry,GAA Football All-Ireland Senior Championship,22,0,14,2,1,,dublin,kerry
9/18/16,dublin,mayo,GAA Football All-Ireland Senior Championship,9,2,15,0,1,,dublin,mayo
10/1/16,dublin,mayo,GAA Football All-Ireland Senior Championship,15,1,14,1,1,,dublin,mayo
2/4/17,mayo,monaghan,Allianz Football League Roinn 1,12,0,11,1,0,,monaghan,mayo
2/4/17,down,fermanagh,Allianz Football League Roinn 1,10,0,16,1,0,,fermanagh,down
2/4/17,laois,louth,Allianz Football League Roinn 1,10,0,16,2,0,,louth,laois
2/5/17,tyrone,roscommon,Allianz Football League Roinn 1,18,0,9,1,1,,tyrone,roscommon
2/5/17,donegal,kerry,Allianz Football League Roinn 1,17,1,17,2,0,,kerry,donegal
2/5/17,cavan,dublin,Allianz Football League Roinn 1,11,0,18,0,0,,dublin,cavan
2/5/17,galway,cork,Allianz Football League Roinn 2,14,0,11,1,0,,cork,galway
2/5/17,derry,clare,Allianz Football League Roinn 2,11,0,8,1,0,,clare,
2/5/17,meath,kildare,Allianz Football League Roinn 2,16,0,17,3,0,,kildare,meath
2/5/17,longford,offaly,Allianz Football League Roinn 3,12,1,10,0,1,,longford,offaly
2/5/17,tipperary,antrim,Allianz Football League Roinn 3,12,2,13,0,1,,tipperary,antrim
2/5/17,sligo,armagh,Allianz Football League Roinn 3,14,1,11,2,2,,null,null
2/5/17,waterford,armagh,Allianz Football League Roinn 4,14,1,11,2,2,,null,null
2/5/17,westmeath,carlow,Allianz Football League Roinn 4,10,2,10,2,2,,null,null
2/5/17,wicklow,leitrim,Allianz Football League Roinn 4,10,0,17,1,0,,leitrim,wicklow
2/5/17,wexford,limerick,Allianz Football League Roinn 4,14,0,8,1,1,,wexford,limerick
2/11/17,kerry,mayo,Allianz Football League Roinn 1,10,1,15,0,0,,mayo,kerry
2/11/17,dublin,tyrone,Allianz Football League Roinn 1,10,0,7,1,2,,null,null
2/11/17,waterford,wicklow,Allianz Football League Roinn 4,17,1,9,1,1,,waterford,wicklow
2/12/17,monaghan,cavan,Allianz Football League Roinn 1,7,0,7,0,2,,null,null
2/12/17,roscommon,donegal,Allianz Football League Roinn 1,9,2,16,0,0,,donegal,roscommon
2/12/17,clare,down,Allianz Football League Roinn 2,11,2,11,0,1,,clare,down
2/12/17,kildare,cork,Allianz Football League Roinn 2,14,1,8,1,1,,kildare,cork
2/12/17,fermanagh,galway,Allianz Football League Roinn 2,10,0,13,1,0,,galway,fermanagh
2/12/17,meath,derry,Allianz Football League Roinn 2,15,3,9,0,1,,meath,derry
2/12/17,louth,longford,Allianz Football League Roinn 3,11,0,10,0,1,,louth,longford
2/12/17,tipperary,sligo,Allianz Football League Roinn 3,16,1,14,2,0,,sligo,tipperary
2/12/17,offaly,antrim,Allianz Football League Roinn 3,23,0,7,1,1,,offaly,antrim
2/12/17,armagh,laois,Allianz Football League Roinn 3,16,0,11,2,0,,laois,armagh
2/12/17,carlow,london,Allianz Football League Roinn 4,16,0,15,2,0,,london,carlow
2/12/17,limerick,westmeath,Allianz Football League Roinn 4,12,0,18,1,0,,westmeath,limerick
2/12/17,leitrim,wexford,Allianz Football League Roinn 4,14,0,16,0,0,,wexford,leitrim
